dataset_pair	dataset_a	dataset_b	scale_variant	metric	mean	ci_low	ci_high	n_rows	n_finite_rows	n_compounds	ci_status	estimate_95_ci
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_source_peer_direction_agreement_pair_p05_corrected_percentile	0.9121982198868333	0.8585001392350592	0.9419567240042152	127	65	50	ok	0.912 [0.859, 0.942]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_source_peer_direction_agreement_pair_p05_fraction_below_observed	0.9117412103193845	0.863790502667094	0.9424754042533525	127	65	50	ok	0.912 [0.864, 0.942]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_source_peer_direction_agreement_pair_p05_sd_score	0.15480476817103056	0.14040280721985876	0.17239360912731544	127	65	50	ok	0.155 [0.140, 0.172]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_target_centroid_direction_agreement_pair_p05	0.5868158587823582	0.5557900077145553	0.6158671367828156	127	125	82	ok	0.587 [0.556, 0.616]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_target_peer_direction_agreement_pair_p05	0.543320377656392	0.5369382241294471	0.5499406210053533	127	65	50	ok	0.543 [0.537, 0.550]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_target_peer_direction_agreement_pair_p05_corrected_percentile	0.9319418477760557	0.8865779685232229	0.9593009094631968	127	65	50	ok	0.932 [0.887, 0.959]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_target_peer_direction_agreement_pair_p05_fraction_below_observed	0.9316564162990195	0.8868557579194006	0.9588726448693157	127	65	50	ok	0.932 [0.887, 0.959]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_target_peer_direction_agreement_pair_p05_sd_score	0.12840051331756983	0.11308517685052416	0.1458961305475612	127	65	50	ok	0.128 [0.113, 0.146]
L1000 Phase2–Tahoe	l1000_phase2	tahoe	raw	baseline_pair_direction_agreement_p05	0.6857835363247601	0.6571507661023073	0.7111592585129184	134	134	110	ok	0.686 [0.657, 0.711]
L1000 Phase2–Tahoe	l1000_phase2	tahoe	raw	delta_vs_baseline_pair_direction_agreement_p05	-0.09307537171183428	-0.20135086664403515	0.0027117209544409125	134	40	32	ok	-0.093 [-0.201, 0.003]
L1000 Phase2–Tahoe	l1000_phase2	tahoe	raw	observed_direction_agreement_p05	0.6748082536247473	0.5658925522715017	0.7658126797478535	134	40	32	ok	0.675 [0.566, 0.766]
L1000 Phase2–Tahoe	l1000_phase2	tahoe	raw	raw_delta_vs_source_centroid_direction_agreement_p05	-0.09307537171183428	-0.20646639965889754	-0.005240975332298206	134	40	32	ok	-0.093 [-0.206, -0.005]
L1000 Phase2–Tahoe	l1000_phase2	tahoe	raw	raw_delta_vs_source_peer_direction_agreement_p05	0.08263339743173591	-0.02628613060936773	0.1709795677899256	134	40	32	ok	+0.083 [-0.026, 0.171]
